role_id,role_name,module_id,module_code,module_name,screen_view,tab_view,field_view,create,update,submit,return_for_fix,approve,reject,cancel,reverse,delete_draft,export,print,grant_permission,override_cap,scope_proposed,derivation
12,"ادارة المبيعات",81,Clients/pricelists.php,"قوائم ونماذج التسعير",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",82,Clients/products.php,"كتالوج المنتجات والخدمات",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",83,Clients/units_of_measure.php,"وحدات القياس",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",84,Clients/contract_amendments.php,"ملاحق العقود وتجديداتها",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",85,Clients/contract_events.php,"سجل حركة العقد",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",86,Finance/events_list_fin.php,"المعاملات المالية",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",87,Finance/accounts_fin.php,"دليل الحسابات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",88,Finance/journal_form_fin.php,"القيود اليومية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",89,Finance/budget_form_fin.php,"الميزانية والانحراف",1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",90,Finance/dues_fin.php,"الذمم والتحصيل",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",91,Finance/payments_fin.php,"المدفوعات والخزينة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",92,Finance/cost_report_fin.php,"التكاليف والربحية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",93,Finance/periods_fin.php,"إقفال الفترات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",94,Finance/funding_fin.php,"التمويل والالتزامات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",95,Finance/cash_forecast_fin.php,"السيولة والتنبؤ النقدي",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",96,Finance/management_accounting_fin.php,"المحاسبة الإدارية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",97,Finance/accountants_fin.php,"المحاسبون والوحدات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",98,Finance/import_events_fin.php,"استقبال معاملات الإدارات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",99,Finance/executive_dashboard_fin.php,"اللوحة التنفيذية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",100,Finance/financial_statements_fin.php,"القوائم المالية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",101,Finance/assets_fin.php,"الأصول والإهلاك",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",102,Finance/tax_fin.php,"الضرائب والقيمة المضافة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",103,Finance/bank_reconciliation_fin.php,"المطابقة البنكية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",104,Finance/cfo_daily_board_fin.php,"لوحة المدير المالي",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",105,Finance/unit_records_fin.php,"وحدات الأطراف",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",106,Finance/supplier_statement_fin.php,"كشف حساب المورد",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",107,main/project_users.php,المعاونين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",108,Transport/transfer_types_config.php,"إعدادات الترحيل",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",109,Transport/transfer_cost_rules_config.php,"قواعد تحميل تكلفة الترحيل",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",110,Transport/trs_locations_config.php,المواقع,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",111,Transport/transfer_requests.php,"موافقات الترحيل",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",112,Transport/transfer_orders_list.php,"أوامر الترحيل",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",113,Transport/transfer_dashboard.php,"لوحة الرحلات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",114,FinRequests/request_form.php,"طلب مالي جديد",1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",115,FinRequests/my_requests.php,"طلباتي المالية",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",116,FinRequests/dept_inbox.php,"موافقات إدارتي",1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",117,FinRequests/accountant_desk.php,"مكتب المحاسب",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",118,FinRequests/finance_gateway.php,"الطلبات المالية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",119,FinRequests/effect_map.php,"سجل الحركة المالية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",120,FinRequests/routing_admin.php,"قواعد توجيه الطلبات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",121,FinRequests/cycle_time_board.php,"زمن دورة الطلبات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",122,FinRequests/requests_reports.php,"تقارير الطلبات المالية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",123,Settings/role_permissions.php,"صلاحيات الأدوار",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",124,Settings/roles.php,الأدوار,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",125,Finance/variance_monitor_fin.php,"متابعة الانحراف",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",126,Finance/maintenance_provision_fin.php,"قواعد مخصص الصيانة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",127,Clients/contract_commitments.php,"التزامات العقود",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",128,Finance/operator_pay_fin.php,"قواعد مستحقات المشغّلين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",129,Clients/readiness_lines.php,"جاهزية العروض",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",130,Tickets/ticket_types_config.php,"إعداد أنواع البلاغات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",131,Tickets/ticket_categories_config.php,"تصنيفات الأعطال والبلاغات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
