nav_id,role_id,role_name,door,group_id,label_ar,route,sort,active,module_id,module_code
48,3,"ادارة الاسطول",REP,,"التكاليف والربحية",Finance/cost_report_fin.php,20,1,92,Finance/cost_report_fin.php
39,3,"ادارة الاسطول",SET,,"الأنواع والموديلات",Equipments/fleet_models.php,10,1,40,Equipments/fleet_models.php
40,3,"ادارة الاسطول",SET,,"إعداد الإهلاك",Equipments/fleet_depreciation_profiles.php,20,1,41,Equipments/fleet_depreciation_profiles.php
51,3,"ادارة الاسطول",SET,,الإعدادات,Settings/settings.php,30,1,11,Settings/settings.php
62,4,"ادارة الموارد البشرية",APPR,,"تسويات العاملين",Workforce/worker_settlement.php,10,1,54,Workforce/worker_settlement.php
69,4,"ادارة الموارد البشرية",APPR,,"موافقات إدارتي",FinRequests/dept_inbox.php,20,1,116,FinRequests/dept_inbox.php
70,4,"ادارة الموارد البشرية",APPR,,"الميزانية والانحراف",Finance/budget_form_fin.php,30,1,89,Finance/budget_form_fin.php
71,4,"ادارة الموارد البشرية",APPR,,"الذمم والتحصيل",Finance/dues_fin.php,40,1,90,Finance/dues_fin.php
72,4,"ادارة الموارد البشرية",APPR,,"اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,50,1,,
59,4,"ادارة الموارد البشرية",DAILY,,"الإجازات والغياب",Workforce/worker_leave_absence.php,10,1,50,Workforce/worker_leave_absence.php
60,4,"ادارة الموارد البشرية",DAILY,,"تنقلات العاملين",Workforce/worker_movement.php,20,1,51,Workforce/worker_movement.php
61,4,"ادارة الموارد البشرية",DAILY,,"تقييم الأداء",Workforce/worker_evaluation.php,30,1,53,Workforce/worker_evaluation.php
63,4,"ادارة الموارد البشرية",DAILY,,"احتياج القوى والتخطيط",Workforce/workforce_requirement.php,40,1,55,Workforce/workforce_requirement.php
67,4,"ادارة الموارد البشرية",DAILY,,"طلب مالي جديد",FinRequests/request_form.php,50,1,114,FinRequests/request_form.php
68,4,"ادارة الموارد البشرية",DAILY,,"طلباتي المالية",FinRequests/my_requests.php,60,1,115,FinRequests/my_requests.php
467,4,"ادارة الموارد البشرية",HOME,,الرئيسية,main/role_board.php,10,1,139,main/role_board.php
52,4,"ادارة الموارد البشرية",REC,,الموظفون,Employees/employees.php,10,1,7,Employees/employees.php
55,4,"ادارة الموارد البشرية",REC,,"المشغّلون والسائقون",Employees/equipment_operators.php,20,1,59,Employees/equipment_operators.php
56,4,"ادارة الموارد البشرية",REC,,المشرفين,main/project_users.php,30,1,14,main/project_users.php
57,4,"ادارة الموارد البشرية",REC,,"السجل التشغيلي للعامل",Workforce/worker_register.php,40,1,47,Workforce/worker_register.php
571,4,"ادارة الموارد البشرية",REC,,"تسويات الموظفين",Workforce/employee_settlements.php,47,1,148,Workforce/employee_settlements.php
58,4,"ادارة الموارد البشرية",REC,,"عقود العاملين",Workforce/worker_contract.php,50,1,48,Workforce/worker_contract.php
595,4,"ادارة الموارد البشرية",REC,,"سجل العقود الموحّد",Workforce/contract_registry.php,55,1,151,Workforce/contract_registry.php
622,4,"ادارة الموارد البشرية",REC,,"مسيّر الرواتب",Workforce/payroll_runs.php,55,1,156,Workforce/payroll_runs.php
628,4,"ادارة الموارد البشرية",REC,,"سلفيات الموظفين",Workforce/employee_advances.php,56,1,157,Workforce/employee_advances.php
65,4,"ادارة الموارد البشرية",REC,,"السكن والإعاشة",Workforce/housing_units.php,60,1,52,Workforce/housing_units.php
462,4,"ادارة الموارد البشرية",REC,,"وثائق المعدات والمشغّلين",Equipments/equipment_documents.php,62,1,141,Equipments/equipment_documents.php
671,4,"ادارة الموارد البشرية",REC,,"تصفية إنهاء خدمة الموظف",Workforce/final_settlement.php,66,1,167,Workforce/final_settlement.php
64,4,"ادارة الموارد البشرية",REP,,"سجل الأحداث التشغيلية",Workforce/worker_worklog.php,10,1,56,Workforce/worker_worklog.php
66,4,"ادارة الموارد البشرية",REP,,"مركز التقارير",Reports/reports.php,20,1,4,Reports/reports.php
